J2005110104243920 012 344534 034 1364157 027 357611503V   511   5209ISE BAY REGION           18K
J2005110104252539 005 355625 016 1373771 017 108905600V   511   4148WESTERN NAGANO PREF      11K
J2005110104360023 012 320831 038 1311993 055 657909802V   511   7277SOUTHERN MIYAZAKI PREF   18K
J2005110104390404 004 322515 010 1303983 013 102006905V   511   7271SOUTHERN KUMAMOTO PREF   18K
J2005110104431261 025 364896 067 1411575 129 46           521   3111E OFF IBARAKI PREF       12K
J2005110104441776 015 382825 037 1415971 085 367019507V   511   2 65E OFF MIYAGI PREF        15K
J2005110104455100 010 365636 017 1393691 023 110808401V   511   3 84NORTHERN TOCHIGI PREF     6K
J2005110104460033 010 382811 023 1411079 046  651146-4v   511   2 50NORTHERN MIYAGI PREF      5K
J2005110104475588 016 362277 034 1410071 092 439014414V   511   3111E OFF IBARAKI PREF       28K
J2005110104515615 018 413791 095 1422993 109 38     15V   521   2 60E OFF AOMORI PREF        19K
J2005110105013871 003 334288 011 1301323 010 122603009V   511   7281NW OFF KYUSHU            28K
J2005110105143005 015 362283 032 1410029 084 445212519V   511   3111E OFF IBARAKI PREF       31K
J2005110105164016 015 362330 034 1410026 086 442413416V   511   3111E OFF IBARAKI PREF       28K
J2005110105203018 035 382103 073 1421590 145 20     09V   521   2 65E OFF MIYAGI PREF         9K
J2005110105220211 009 362923 023 1380063 029 120310501V   511   4145NEAR MATSUSHIRO          19K
J2005110105230929 003 332894 007 1303235 007 125604003V   511   7262CENTRAL FUKUOKA PREF     17K
J2005110105311080 019 390340 095 1441368 096 35     22V   521   8327FAR E OFF NORTH HONSHU   15K
J2005110105322746 030 392000 063 1381675 093  57334719V   511   8321EASTERN SEA OF JAPAN     15K
J2005110105324994 017 280466 099 1292424 087 291342515v   511   7296NEAR AMAMI-OSHIMA ISLAND  4K
J2005110105374510 019 415317 065 1420422 062 577131213V   511   1 30S OFF URAKAWA            16K
J2005110105424779 008 371975 014 1385262 026 139204302V   511   4132MID NIIGATA PREF          6K
J2005110105461167 013 354741 034 1373424 029 3837102-2V   515   4148WESTERN NAGANO PREF       9K
J2005110105465616 022 354737 061 1373356 044 3480183-1V   515   4148WESTERN NAGANO PREF       8K
J2005110105532807 007 371925 020 1385971 029  90610412V   511   4132MID NIIGATA PREF         20K
J2005110105555890 014 412870 033 1411295 034 256312408V   515   1 17TSUGARU STRAIT REGION    11K
J2005110105582254 009 333048 029 1315977 028 609507907V   511   6244IYONADA SETONAIKAI       23K
J2005110106024737 003 354543 009 1365150 010  84504902V   511   4138FUKUI GIFU BORDER REGION 20K
J2005110106141790 013 424596 046 1444880 077 451113114V   511   1 27OFF NEMURO PENINSULA     19K
J2005110106173119 003 341427 013 1351204 014  57408412V   511   5190NW WAKAYAMA PREF         20K
J2005110106181916 007 333012 021 1354792 018 217703600v   511   5192SOUTHERN WAKAYAMA PREF   12K
J2005110106264390 005 342498 014 1355266 016  88908503V   511   5194NORTHERN NARA PREF       14K
J2005110106274215 010 342453 011 1355326 028  863103      571   5194NORTHERN NARA PREF        4S
J2005110106281620 004 324624 009 1311902 011 132305505V   511   7278NORTHERN MIYAZAKI PREF   19K
J2005110106302263 006 334986 015 1352049 023 449105006V   511   5191CENTRAL WAKAYAMA PREF    22K
J2005110106312411 006 341866 016 1340637 018 124406203V   511   6230KAGAWA PREF              13K
J2005110106312791 010 371176 024 1411251 067 645708207V   511   2 69E OFF FUKUSHIMA PREF     20K
J2005110106362594 022 241744 078 1235951 042 1416194      511   7290NEAR ISHIGAKIJIMA ISLAND  5K
J2005110106374064 039 404115 069 1423630 158 250044823V   511   2 60E OFF AOMORI PREF        29K
J2005110106450287 005 360228 015 1372066 019 115907403V   511   4141NORTHERN GIFU PREF       20K
J2005110106482618 002 345826 006 1323760 006  71305002V   511   6224SHIMANE HIROSHIMA BORDER 20K
J2005110106500649 011 383040 027 1415475 064 392113308V   511   2 65E OFF MIYAGI PREF        19K
J2005110106515482 008 395183 022 1414455 037 704706641D42V5113  2 48NORTHERN IWATE PREF      32K
J2005110107082891 009 371183 021 1385310 032 117208604V   511   4132MID NIIGATA PREF         13K
J2005110107082902 024 280734 130 1292852 091 364443624V   511   7296NEAR AMAMI-OSHIMA ISLAND  7K
J2005110107174063 005 430266 008 1425378 014  82409101V   511   1 11HIDAKA MOUNTAINS REGION   7K
J2005110107290708 008 343061 022 1391268 032  92213611V   511   3103NEAR NIIJIMA ISLAND      15K
J2005110107351683 008 341285 017 1352680 015  84710704v   511   5189NE WAKAYAMA PREF         12K
J2005110107560558 004 320423 011 1292359 023  4     14V   521   7283W OFF AMAKUSA ISLAND     15K
J2005110108015935 007 362885 016 1380018 022 104708313V   511   4145NEAR MATSUSHIRO          20K
J2005110108033906 007 362891 016 1380033 023 108408307V   511   4145NEAR MATSUSHIRO          20K
J2005110108035567 010 362928 023 1380040 026 122210205V   511   4145NEAR MATSUSHIRO          17K
J2005110108051276 025 241795 107 1251499 082 39     41D39V5211  7293NEAR MIYAKOJIMA ISLAND   11K
J2005110108083491 050 273775 283 1265241 270162     27V   521   7287NW OFF OKINAWAJIMA IS     6K
J2005110108092517 012 335127 021 1343760 036 101208402V   511   6231TOKUSHIMA PREF            8K
J2005110108160859 008 395087 020 1415453 042 635306519V   511   2 48NORTHERN IWATE PREF      32K
J2005110108162520 010 362987 023 1380055 020 136008705V   511   4145NEAR MATSUSHIRO          13K
J2005110108164093 003 355232 011 1373654 011  71205102V   511   4148WESTERN NAGANO PREF      16K
J2005110108230083 015 362258 033 1410469 085 448414418V   511   3111E OFF IBARAKI PREF       27K
J2005110108270032 007 362876 015 1380025 023 108408215V   511   4145NEAR MATSUSHIRO          20K
J2005110108333395 002 330673 008 1302858 010  93304918V   511   7264NORTHERN ARIAKEKAI REG   31K
J2005110108340065 019 410320 047 1391783 094 229837220V   511   2 59W OFF AOMORI PREF        17K
J2005110108360640 007 362883 015 1380024 022 105908314V   511   4145NEAR MATSUSHIRO          20K
J2005110108390561 010 325183 035 1311815 0491124008121V   511   7279SOUTHERN OITA PREF       24K
J2005110108400014 010 423802 033 1433211 050 327610302v   511   1  9TOKACHI REGION            9K
J2005110108515035 018 323702 047 1295692 042  94525302v   511   7267NEAR UNZENDAKE            7K
J2005110109063011 003 361189 010 1380106 014  76904710V   511   4147CENTRAL NAGANO PREF      20K
J2005110109071171 004 361191 011 1380083 017  73605406V   511   4147CENTRAL NAGANO PREF      20K
J2005110109101390 015 404561 033 1391156 071 139617721V   511   2 59W OFF AOMORI PREF        21K
J2005110109410139 022 325075 089 1400984 394134     30V   521   8330E OFF HACHIJOJIMA ISLAND 12K
J2005110109435976 013 420829 040 1452169 088 359213726V   511   1 27OFF NEMURO PENINSULA     22K
J2005110109440209 012 363142 031 1402926 051 553910016V   511   3 86NORTHERN IBARAKI PREF    29K
J2005110109480201 010 385069 028 1413456 053 732507508V   511   2 50NORTHERN MIYAGI PREF     22K
J2005110109484075 009 362523 022 1403639 043 612106705V   511   3 86NORTHERN IBARAKI PREF    14K
J2005110109512502 003 333817 008 1302018 009 129403612V   511   7262CENTRAL FUKUOKA PREF     21K
J2005110109583318 007 315820 020 1302757 023  69205502v   511   7273NW KAGOSHIMA PREF         8K
J2005110110011506 039 384713 120 1425176 176 29     11V   521   2 64FAR E OFF MIYAGI PREF     9K
J2005110110103241 030 402637 066 1424009 119 212928225V   511   2 61NE OFF IWATE PREF        32K
J2005110110150195 008 362998 020 1380072 018 131707005V   511   4145NEAR MATSUSHIRO          16K
J2005110110160797 006 362891 015 1380030 021 111107511V   511   4145NEAR MATSUSHIRO          20K
J2005110110174698 007 362969 019 1380055 020 132307307V   511   4145NEAR MATSUSHIRO          17K
J2005110110254814 003 400973 014 1403390 016  75208620V   511   2 46NORTHERN AKITA PREF      20K
J2005110110325668 005 325876 013 1304678 016 110706911V   511   7269NW KUMAMOTO PREF         18K
J2005110110340100 052 404047 179 1452615 260 21     28V   521   8327FAR E OFF NORTH HONSHU   19K
J2005110110340344 082 403821 187 1450831 419 46     26V   521   8327FAR E OFF NORTH HONSHU   12K
J2005110110381806 013 284201 067 1293765 075 160127026V   511   7296NEAR AMAMI-OSHIMA ISLAND  8K
J2005110110411089 044 412865 080 1394280 1671741438225V   511   1 18SW OFF HOKKAIDO           8K
J2005110110464110 046 440315 208 1472426 320 90     26V   521   1 26E OFF HOKKAIDO           11K
J2005110110565058 008 422917 021 1432925 034 530706406V   511   1  9TOKACHI REGION           10K
J2005110110593905 023 414342 077 1421580 075 547944414V   511   2 60E OFF AOMORI PREF        11K
J2005110111010908 004 390402 013 1404882 016  90308746D45V5113  2 49SOUTHERN IWATE PREF      20K
J2005110111021180 004 390396 018 1404879 017  78407829v   511   2 49SOUTHERN IWATE PREF      13K
J2005110111032130 004 390397 016 1404878 017  97908822V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111034619 005 390425 017 1404872 017  79708817v   511   2 49SOUTHERN IWATE PREF      15K
J2005110111040055 004 390386 014 1404874 018  87209730V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111053488 015 390352 037 1404838 043  669195      571   2 49SOUTHERN IWATE PREF       6S
J2005110111062635 008 390300 036 1404860 031  92514509v   511   2 49SOUTHERN IWATE PREF      12K
J2005110111063081 010 390378 030 1404881 027  84910410V   571   2 49SOUTHERN IWATE PREF      12S
J2005110111071012 010 412435 046 1420241 059 305916317V   511   2 60E OFF AOMORI PREF        15K
J2005110111072623 020 390339 062 1404865 068  83915604v   571   2 49SOUTHERN IWATE PREF       6S
J2005110111074481 003 390353 013 1404886 015  83307210V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111093894 004 390386 016 1404880 017  88509511V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111100480 018 390372 042 1404932 039  88616908v   571   2 49SOUTHERN IWATE PREF       8S
J2005110111101285 009 390357 020 1404857 031  84911006V   511   2 49SOUTHERN IWATE PREF      10K
J2005110111104539 009 362921 021 1380073 025 124008604V   511   4145NEAR MATSUSHIRO          15K
J2005110111110911 004 390399 019 1404976 016  90807611V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111115908 015 390368 035 1404886 050  679145      571   2 49SOUTHERN IWATE PREF       5S
J2005110111125000 012 390314 032 1404855 038  83414007V   511   2 49SOUTHERN IWATE PREF      12K
J2005110111145956 023 283910 088 1294530 310 17     24v   571   7296NEAR AMAMI-OSHIMA ISLAND  4S
J2005110111150996 012 390334 044 1404832 057  61217802V   571   2 49SOUTHERN IWATE PREF       5S
J2005110111151497 007 390336 014 1404897 025  71208104v   571   2 49SOUTHERN IWATE PREF       5S
J2005110111153051 008 390384 029 1404932 031  95409505V   511   2 49SOUTHERN IWATE PREF      14K
J2005110111161770 004 390399 016 1404959 018  86209012V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111163386 005 352037 012 1331879 014 121105401V   511   6222WESTERN TOTTORI PREF     11K
J2005110111172121 008 390420 029 1404884 026  83110405V   571   2 49SOUTHERN IWATE PREF       9S
J2005110111172728 007 362883 015 1380026 022 107108321V   511   4145NEAR MATSUSHIRO          20K
J2005110111174264 004 390401 013 1404876 015  89408214V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111181208 004 390427 015 1404981 015  88807512V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111191408 005 390416 021 1404975 025  77409206V   511   2 49SOUTHERN IWATE PREF      18K
J2005110111194083 004 390355 016 1404859 014  88707410V   511   2 49SOUTHERN IWATE PREF      18K
J2005110111220100 022 390339 044 1404887 047  900158      571   2 49SOUTHERN IWATE PREF       6S
J2005110111230296 020 390357 039 1404890 043  842157      571   2 49SOUTHERN IWATE PREF       5S
J2005110111232674 006 362895 014 1380082 022 112206806V   511   4145NEAR MATSUSHIRO          19K
J2005110111233203 009 390393 035 1404925 034  84811807V   511   2 49SOUTHERN IWATE PREF      10K
J2005110111244246 013 390438 039 1404881 046  82915803V   511   2 49SOUTHERN IWATE PREF       9K
J2005110111264961 007 390398 023 1404903 028  832100      511   2 49SOUTHERN IWATE PREF      10K
J2005110111282010 006 390395 033 1404924 021  90109003V   511   2 49SOUTHERN IWATE PREF      11K
J2005110111284548 006 390353 024 1404898 025  96107205V   511   2 49SOUTHERN IWATE PREF      11K
J2005110111303780 004 313685 010 1300733 014  58222809V   511   7284SW OFF KYUSHU            18K
J2005110111340647 007 362867 017 1380026 024 100208909V   511   4145NEAR MATSUSHIRO          20K
J2005110111341312 007 390383 021 1404920 024  79109504V   511   2 49SOUTHERN IWATE PREF       9K
J2005110111382388 018 390402 061 1404907 068  87915205v   511   2 49SOUTHERN IWATE PREF       6K
J2005110111392213 016 390384 055 1404852 043  84015306V   571   2 49SOUTHERN IWATE PREF       9S
J2005110111401352 015 390319 036 1404899 038  70912603v   571   2 49SOUTHERN IWATE PREF       6S
J2005110111402829 019 390361 056 1404887 060  66917602v   571   2 49SOUTHERN IWATE PREF       6S
J2005110111422249 004 390398 015 1404942 018  85709516V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111440551 006 390426 024 1404957 021  85709110V   511   2 49SOUTHERN IWATE PREF      20K
J2005110111445593 006 390433 024 1404995 025  86209508V   511   2 49SOUTHERN IWATE PREF      16K
J2005110111454659 012 390322 034 1404938 043  94612705V   511   2 49SOUTHERN IWATE PREF      13K
J2005110111483062 004 363643 012 1392255 017  99505907V   511   3 83TOCHIGI GUNMA BORDER     13K
J2005110111484410 008 390345 027 1404877 028  91708404V   511   2 49SOUTHERN IWATE PREF       8K
J2005110111490478 004 351371 013 1352797 013 108906206V   511   5183MID KYOTO PREF           17K
J2005110111501844 016 390356 044 1404968 058  73115202v   571   2 49SOUTHERN IWATE PREF       8S
J2005110111513836 017 390380 060 1404878 076  81719701v   511   2 49SOUTHERN IWATE PREF       5K
J2005110111523498 008 390359 024 1404847 029  82211104V   511   2 49SOUTHERN IWATE PREF      10K
J2005110111530625 014 390316 030 1404933 032  82410802v   571   2 49SOUTHERN IWATE PREF       5S
J2005110111534988 014 390368 035 1404938 044  86014203v   571   2 49SOUTHERN IWATE PREF       6S
J2005110111544611 010 390362 036 1404874 033  77715205V   511   2 49SOUTHERN IWATE PREF       8K
J2005110111551803 008 390446 019 1404845 024  81910903V   511   2 49SOUTHERN IWATE PREF      11K
J2005110111555353 015 390351 065 1404826 051  82015303v   571   2 49SOUTHERN IWATE PREF       8S
J2005110111570411 015 401374 054 1412754 083 834111205V   511   2 48NORTHERN IWATE PREF      14K
J2005110112034959 005 390376 017 1404867 020  78108809V   511   2 49SOUTHERN IWATE PREF      20K
J2005110112074763 003 390407 012 1404977 015  81607912V   511   2 49SOUTHERN IWATE PREF      20K
J2005110112075712 009 390352 024 1404823 024  90411009V   571   2 49SOUTHERN IWATE PREF      18S
J2005110112093794 004 430063 015 1424928 031  0     01V   521   1 11HIDAKA MOUNTAINS REGION   8K
J2005110112095247 005 390415 019 1404877 021  90111408V   511   2 49SOUTHERN IWATE PREF      20K
J2005110112100561 003 334347 012 1301195 011  90503609V   511   7281NW OFF KYUSHU            28K
J2005110112150941 003 390470 010 1404852 014  66307505V   511   2 49SOUTHERN IWATE PREF      12K
J2005110112153585 014 390394 026 1404911 040  70116401v   571   2 49SOUTHERN IWATE PREF       5S
J2005110112160512 005 390442 016 1404853 022  84309705V   511   2 49SOUTHERN IWATE PREF      15K
J2005110112165619 003 390370 013 1404859 015  90207709V   511   2 49SOUTHERN IWATE PREF      20K
J2005110112190576 002 345722 007 1325021 008  868030-1V   511   6224SHIMANE HIROSHIMA BORDER 16K
J2005110112262538 011 390417 041 1404901 029  89012504V   511   2 49SOUTHERN IWATE PREF      11K
J2005110112284481 003 390400 011 1404930 010  893037-1v   511   2 49SOUTHERN IWATE PREF       6K
J2005110112314150 003 334785 010 1341712 011 105804505V   511   6231TOKUSHIMA PREF           15K
J2005110112314527 007 390380 021 1404857 025  83509905V   511   2 49SOUTHERN IWATE PREF      12K
J2005110112321966 005 390447 018 1404866 019  77009703V   511   2 49SOUTHERN IWATE PREF      13K
J2005110112322700 005 353160 014 1395229 020 185207712V   511   3 96TOKYO BAY REGION         15K
J2005110112323916 006 371113 024 1384948 023  86809911V   511   4132MID NIIGATA PREF         20K
J2005110112344118 010 390396 031 1404974 039  83213203V   511   2 49SOUTHERN IWATE PREF       9K
J2005110112365260 003 352722 011 1343061 017  49009604V   511   5185NORTHERN HYOGO PREF      18K
J2005110112382482 004 352748 017 1343071 023  55211500V   511   5185NORTHERN HYOGO PREF       9K
J2005110112414075 005 390400 019 1404835 018  83610006V   511   2 49SOUTHERN IWATE PREF      19K
J2005110112445079 004 390385 015 1404898 013  89506108V   511   2 49SOUTHERN IWATE PREF      20K
J2005110112473830 006 334945 020 1350501 020 450005743D46V5114  5207S PART OF KII CHANNEL    32K
J2005110112482167 004 390359 016 1404883 015  91308113V   511   2 49SOUTHERN IWATE PREF      20K
J2005110112494750 004 390422 013 1404845 015  92608413V   511   2 49SOUTHERN IWATE PREF      20K
J2005110112502712 031 432412 142 1463405 167 438823525V   511   1 23NEAR KUNASHIRI ISLAND    16K
J2005110112552108 005 390420 016 1404879 021  74610305V   511   2 49SOUTHERN IWATE PREF      17K
J2005110112555681 003 334421 013 1344057 009 143904022V   511   6249SE OFF SHIKOKU           20K
J2005110112560978 008 351548 017 1382385 022 140707204V   511   4150AKAISHI MOUNTAINS REG    15K
J2005110112582784 004 390431 013 1404849 015  79807106V   511   2 49SOUTHERN IWATE PREF      14K
J2005110112595720 026 404040 056 1424317 098 212432324V   511   2 60E OFF AOMORI PREF        26K
J2005110113021075 006 390316 028 1404848 023  86411005V   511   2 49SOUTHERN IWATE PREF      13K
J2005110113081899 019 240423 078 1231647 045 267430220V   511   7290NEAR ISHIGAKIJIMA ISLAND  7K
J2005110113090251 004 375672 010 1405043 022 118105012V   511   2 51SOUTHERN MIYAGI PREF     20K
J2005110113094490 002 345721 009 1325024 008  871031-2V   511   6224SHIMANE HIROSHIMA BORDER 13K
J2005110113114956 006 334958 019 1350532 019 430905408V   511   5207S PART OF KII CHANNEL    21K
J2005110113121135 005 334703 019 1350665 018 406305104V   511   5207S PART OF KII CHANNEL    15K
J2005110113195603 006 400895 015 1410951 021 106808306V   511   2 48NORTHERN IWATE PREF      18K
J2005110113215627 009 384624 024 1413760 045 676307323V   511   2 50NORTHERN MIYAGI PREF     32K
J2005110113230812 003 335119 013 1345956 008 127904410V   511   5207S PART OF KII CHANNEL    17K
J2005110113304331 006 323029 021 1305428 019 109606103V   511   7271SOUTHERN KUMAMOTO PREF    9K
J2005110113305546 024 382390 064 1431259 110 17     29V   521   2 64FAR E OFF MIYAGI PREF    22K
J2005110113375944 021 385828 053 1422864 101 323328417V   511   2 65E OFF MIYAGI PREF        25K
J2005110113412980 010 390385 037 1404867 041  81812405V   511   2 49SOUTHERN IWATE PREF       7K
J2005110113414078 006 334947 020 1350513 019 434605712V   511   5207S PART OF KII CHANNEL    25K
J2005110113422372 010 335004 036 1350626 047 432305800v   511   5207S PART OF KII CHANNEL    10K
J2005110113425584 004 390352 016 1404910 018  87208711V   511   2 49SOUTHERN IWATE PREF      20K
J2005110113433734 009 302638 029 1302148 043 690207918V   511   7298NEAR TANEGASHIMA ISLAND  10K
J2005110113434546 021 390394 046 1404949 049  82716705v   571   2 49SOUTHERN IWATE PREF       6S
J2005110113465923 026 362571 083 1394673 080 864920406V   511   3 85SOUTHERN TOCHIGI PREF    12K
J2005110113544569 022 330090 073 1312186 1131144117212V   511   7279SOUTHERN OITA PREF       15K
J2005110113553461 013 390357 041 1404910 044  82210300v   571   2 49SOUTHERN IWATE PREF       5S
J2005110113560392 004 390380 015 1404852 017  88309514V   511   2 49SOUTHERN IWATE PREF      20K
J2005110113560645 010 390341 028 1404952 031  954121      571   2 49SOUTHERN IWATE PREF       7S
J2005110113572696 006 334961 021 1350531 021 441505835V   5112  5207S PART OF KII CHANNEL    32K
J2005110113594242 035 432180 094 1453208 129 658527914V   511   1  6NEMURO REGION            12K
J2005110114014156 007 332995 021 1320478 023 522005807V   511   6244IYONADA SETONAIKAI       19K
J2005110114072744 005 390337 020 1404870 019  94909607V   511   2 49SOUTHERN IWATE PREF      19K
J2005110114112461 037 414884 126 1433784 177 33     06v   521   1 29SE OFF ERIMOMISAKI        4K
J2005110114154119 006 373149 019 1391918 029  77808704V   511   4131NE NIIGATA PREF           9K
J2005110114154893 004 340663 012 1350989 017  48704804V   511   5190NW WAKAYAMA PREF         12K
J2005110114282592 014 313723 033 1315365 079 393117615V   511   7300HYUGANADA REGION         20K
J2005110114311523 006 355238 019 1373797 017 116207103V   511   4148WESTERN NAGANO PREF      16K
J2005110114313319 009 390381 023 1404862 035  88209600v   571   2 49SOUTHERN IWATE PREF       7S
J2005110114334057 005 390382 017 1404977 019  92206105V   511   2 49SOUTHERN IWATE PREF      13K
J2005110114342015 010 355343 027 1402913 033 332309920V   511   3 92NORTHERN CHIBA PREF      31K
J2005110114345262 034 284125 159 1293916 139 194349324V   511   7296NEAR AMAMI-OSHIMA ISLAND  5K
J2005110114364792 002 335111 012 1345956 007 128704110V   511   5207S PART OF KII CHANNEL    17K
J2005110114410187 008 320502 028 1295463 050 131813707V   511   7283W OFF AMAKUSA ISLAND      8K
J2005110114461548 013 284023 095 1294350 258 20     20v   571   7296NEAR AMAMI-OSHIMA ISLAND  4S
J2005110114550305 005 390350 021 1404852 020  96709807V   511   2 49SOUTHERN IWATE PREF      16K
J2005110114590592 010 353021 018 1390728 017 213207105V   511   4152EASTERN YAMANASHI PREF   14K
J2005110115055755 006 390403 021 1404874 023  93310706V   511   2 49SOUTHERN IWATE PREF      18K
J2005110115112970 006 324645 015 1311888 013 137106503V   511   7278NORTHERN MIYAZAKI PREF   11K
J2005110115122827 004 390436 016 1404874 018  94209709V   511   2 49SOUTHERN IWATE PREF      20K
J2005110115134880 004 340245 016 1334269 022  72011112V   511   6230KAGAWA PREF              20K
J2005110115212490 022 361760 072 1423542 101 18     30V   521   3113FAR E OFF KANTO          20K
J2005110115333815 047 425250 110 1425887 2971001338607V   511   1  9TOKACHI REGION            8K
J2005110115355963 005 335433 010 1342906 018 108606306V   511   6231TOKUSHIMA PREF           18K
J2005110115394003 013 425609 048 1450267 057 486711126V   511   1 27OFF NEMURO PENINSULA     34K
J2005110115450207 010 363076 026 1410172 063 502211128V   511   3111E OFF IBARAKI PREF       37K
J2005110115493914 021 394228 140 1393745 328193     20v   521   2 45OGA PENINSULA REGION     11K
J2005110115524345 004 390348 018 1404918 018  85506305V   511   2 49SOUTHERN IWATE PREF      15K
J2005110115594724 008 430395 018 1433118 027 238809917V   511   1  9TOKACHI REGION           18K
J2005110116004090 007 434196 090 1431325 192154     16V   521   1 10TAISETSU MOUNTAINS REG   15K
J2005110116033954 004 390338 016 1404912 017  79807209V   511   2 49SOUTHERN IWATE PREF      20K
J2005110116135796 006 390389 043 1404877 024  97608706V   511   2 49SOUTHERN IWATE PREF      11K
J2005110116164214 004 390352 013 1404877 017  81209118V   511   2 49SOUTHERN IWATE PREF      20K
J2005110116170793 006 390336 021 1404847 025  58213307V   511   2 49SOUTHERN IWATE PREF      12K
