number,name,region,lat,lon,elev,type,status,lasterp
1402-21-,Quezaltepeque,Guatemala,14.65,-89.35,1200,Volcanic field,Holocene,U
1600-02=,"Quill, The",W Indies,17.48,-62.95,601,Stratovolcano,Radiocarbon,D6
1502-06=,Quilotoa,Ecuador,-0.85,-78.9,3914,Caldera,Radiocarbon,D6
1504-004,Quimsachata,Peru,-14.37,-71.17,3923,Lava dome,Holocene,U
0502-14=,Rabaul,New Britain-SW Pac,-4.271,152.203,688,Pyroclastic shield,Historical,D1
0701-06=,Ragang,Mindanao-Philippines,7.67,124.5,2815,Stratovolcano,Historical,D2
0301-01=,"Rahah, Harrat ar",Arabia-W,27.8,36.17,1660,Volcanic field,Anthropology,U
0301-07=,"Rahat, Harrat",Arabia-W,23.08,39.78,1744,Volcanic field,Historical,D6
0900-25=,Raikoke,Kuril Is,48.292,153.25,551,Stratovolcano,Historical,D2
1201-03-,Rainier,US-Washington,46.87,-121.758,4392,Stratovolcano,Dendrochronology,D3
0601-29=,Rajabasa,Sumatra,-5.78,105.625,1281,Stratovolcano,Fumarolic,U
0604-071,Ranakah,Lesser Sunda Is,-8.62,120.52,2100,Lava dome,Historical,D1
0601-251,Ranau,Sumatra,-4.83,103.92,1881,Caldera,Holocene,Unknown
0402-03=,Raoul Island,Kermadec Is,-29.27,-177.92,516,Stratovolcano,Historical,D1
0900-22=,Rasshua,Kuril Is,47.77,153.02,956,Stratovolcano,Historical,D2
0603-34=,Raung,Java,-8.125,114.042,3332,Stratovolcano,Historical,D1
0805-082,Rausu,Hokkaido-Japan,44.073,145.125,1660,Stratovolcano,Tephrochronology,D3
1101-28-,Recheschnoi,Aleutian Is,53.15,-168.55,1984,Stratovolcano,Holocene,U
1508-063,Reclus,Chile-S,-50.98,-73.7,0,Stratovolcano,Radiocarbon,D7
1203-15-,Red Cones,US-California,37.58,-119.05,2748,Cinder cone,Holocene,U
1507-113,"Redondo, Cerro",Chile-C,-39.27,-71.7,1496,Cinder cone,Tephrochronology,D7
1103-03-,Redoubt,Alaska-SW,60.48,-152.75,3108,Stratovolcano,Historical,D1
0401-06-,Reporoa,New Zealand,-38.42,176.33,592,Caldera,Tephrochronology,D6
1507-065,"Resago, Volcan",Chile-C,-36.45,-70.92,1550,Cinder cone,Holocene,U
1502-01=,Reventador,Ecuador,-0.078,-77.656,3562,Stratovolcano,Historical,D1
1701-02=,Reykjanes,Iceland-SW,63.88,-22.5,230,Crater rows,Historical,D6
1701-01=,Reykjaneshryggur,Iceland-SW,63.67,-23.33,80,Submarine volcanoes,Historical,D1
0604-21=,Riang Kotang,Lesser Sunda Is,-8.3,122.892,200,Fumarole field,Fumarolic,Unknown
1405-02=,Rincon de la Vieja,Costa Rica,10.83,-85.324,1916,Complex volcano,Historical,D1
0604-03=,Rinjani,Lesser Sunda Is,-8.42,116.47,3726,Stratovolcano,Historical,D1
0805-041,Rishiri,Hokkaido-Japan,45.18,141.25,1719,Stratovolcano,Radiocarbon,D7
0501-07=,Ritter Island,New Guinea-NE of,-5.52,148.121,140,Stratovolcano,Historical,D1
1506-02=,Robinson Crusoe,Chile-Is,-33.658,-78.85,922,Shield volcano,Historical,D3
1505-128,Robledo,Argentina,-26.77,-67.72,4400,Caldera,Holocene,U
1303-04-,Rocard,Society Is-C Pacific,-17.642,-148.6,-2100,Submarine volcano,Seismicity,U
1000-34-,Romanovka,Kamchatka,55.65,158.8,1442,Stratovolcano,Holocene,U
1404-06-,Rota,Nicaragua,12.55,-86.75,832,Stratovolcano,Holocene,U
0401-042,Rotorua,New Zealand,-38.08,176.27,757,Caldera,Pleistocene-Geysers,Q
1101-38-,Roundtop,Aleutian Is,54.8,-163.6,1871,Stratovolcano,Holocene,U
1900-021,Royal Society Range,Antarctica,-78.25,163.6,3000,Cinder cone,Holocene,Unknown
0607-01=,Ruang,Sangihe Is-Indonesia,2.28,125.425,725,Stratovolcano,Historical,D2
0401-10=,Ruapehu,New Zealand,-39.28,175.57,2797,Stratovolcano,Historical,D1
0804-201,Ruby,Mariana Is-C Pacific,15.62,145.57,-230,Submarine volcano,Historical,D1
1200-03-,Ruby Mountain,Canada,59.68,-133.32,1523,Cinder cone,Historical,D3
0900-112,Rudakov,Kuril Is,45.88,149.83,542,Stratovolcano,Holocene,Unknown
1501-02=,Ruiz,Colombia,4.895,-75.322,5321,Stratovolcano,Historical,D1
0401-13-,Rumble III,New Zealand,-35.745,178.478,-140,Submarine volcano,Hydrophonic,D1
0401-12-,Rumble IV,New Zealand,-36.13,178.05,-450,Submarine volcano,Fumarolic,U
0401-11-,Rumble V,New Zealand,-36.139,178.197,-700,Submarine volcano,Fumarolic,U
0202-166,Rungwe,Africa-E,-9.13,33.67,2961,Stratovolcano,Holocene,U
0202-163,SW Usangu Basin,Africa-E,-8.75,33.8,2179,Lava dome,Holocene,U
1600-01=,Saba,W Indies,17.63,-63.23,887,Stratovolcano,Historical,D5
1504-003,Sabancaya,Peru,-15.78,-71.85,5967,Stratovolcano,Historical,D1
1505-022,"Sacabaya, Volcan de",Bolivia,-18.62,-68.75,4215,Cinder cone,Holocene,U
1202-18-,Saddle Butte,US-Oregon,43,-117.8,1700,Volcanic field,Holocene,Unknown
1505-091,Sairecabur,Chile-N,-22.73,-67.88,5971,Stratovolcano,Holocene,U
0501-08=,Sakar,New Guinea-NE of,-5.414,148.094,992,Stratovolcano,Holocene,Unknown
0802-08=,Sakura-jima,Kyushu-Japan,31.58,130.67,1117,Stratovolcano,Historical,D1
0603-05=,Salak,Java,-6.72,106.73,2211,Stratovolcano,Historical,D2
1505-052,"San Agustin, Cerro",Bolivia,-21.25,-67.75,4980,Stratovolcano,Holocene,Unknown
1401-007,San Borja Volc Field,Mexico,28.5,-113.75,1360,Cinder cone,Holocene,U
0204-002,San Carlos,Africa-W,3.35,8.52,2260,Shield volcano,Holocene,U
1503-12-,San Cristobal,Galapagos,-0.88,-89.5,759,Shield volcano,Holocene,U
1404-02=,San Cristobal,Nicaragua,12.702,-87.004,1745,Stratovolcano,Historical,D1
1403-001,San Diego,El Salvador,14.27,-89.48,781,Volcanic field,Holocene,U
1506-01=,San Felix,Chile-Is,-26.27,-80.12,183,Shield volcano,Holocene,U
0204-003,San Joaquin,Africa-W,3.35,8.63,2009,Shield volcano,Holocene,U
1802-03=,San Jorge,Azores,38.65,-28.08,1053,Fissure vent,Historical,D2
1507-02=,San Jose,Chile-C,-33.782,-69.897,5856,Stratovolcano,Historical,D2
1401-003,"San Luis, Isla",Mexico,29.814,-114.384,180,Tuff cone,Holocene,U
1403-04=,San Marcelino,El Salvador,13.853,-89.63,2381,Stratovolcano,Historical,D2
1401-11=,San Martin,Mexico,18.572,-95.169,1650,Shield volcano,Historical,D4
1403-10=,San Miguel,El Salvador,13.431,-88.272,2130,Stratovolcano,Historical,D1
1505-07=,San Pedro,Chile-N,-21.88,-68.4,6145,Stratovolcano,Historical,D2
1507-062,San Pedro-Pellado,Chile-C,-35.989,-70.849,3621,Stratovolcano,Holocene,U
1401-002,San Quintin Volc Field,Mexico,30.468,-115.996,260,Cinder cone,Holocene,U
1403-05=,San Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,Historical,D2
1804-04-,San Vicente,Cape Verde Is,16.85,-24.97,725,Stratovolcano,Holocene,U
1403-07=,San Vicente,El Salvador,13.623,-88.852,2182,Stratovolcano,Holocene,U
0803-002,Sanbe,Honshu-Japan,35.13,132.62,1126,Caldera,Radiocarbon,D7
1202-04-,Sand Mountain Field,US-Oregon,44.38,-121.93,1664,Cinder cone,Radiocarbon,D7
1105-01-,Sanford,Alaska-E,62.22,-144.13,4949,Shield volcano,Holocene,Unknown
1401-023,Sanganguey,Mexico,21.45,-104.73,2340,Stratovolcano,Holocene,U
1502-09=,Sangay,Ecuador,-2.03,-78.33,5230,Stratovolcano,Historical,D1
0604-05=,Sangeang Api,Lesser Sunda Is,-8.18,119.058,1949,Complex volcano,Historical,D1
0604-06=,"Sano, Wai",Lesser Sunda Is,-8.68,120.025,903,Caldera,Holocene,U
1403-02=,Santa Ana,El Salvador,13.853,-89.63,2365,Stratovolcano,Historical,D2
1207-01-,Santa Clara,US-Utah,37.257,-113.625,1465,Volcanic field,Holocene,U
1503-091,Santa Cruz,Galapagos,-0.62,-90.33,864,Shield volcano,Holocene,U
1501-021,Santa Isabel,Colombia,4.82,-75.37,4950,Shield volcano,Radiocarbon,D7
0204-004,Santa Isabel,Africa-W,3.58,8.75,2972,Shield volcano,Historical,D2
1505-063,"Santa Isabel, Cerro",Bolivia,-21.67,-66.5,5100,Stratovolcano,Holocene,Unknown
1402-03=,Santa Maria,Guatemala,14.756,-91.552,3772,Stratovolcano,Historical,D1
1503-09=,Santiago,Galapagos,-0.22,-90.77,920,Shield volcano,Historical,D2
1402-16-,"Santiago, Cerro",Guatemala,14.33,-89.87,1192,Volcanic field,Holocene,U
1804-03-,Santo Antao,Cape Verde Is,17.07,-25.17,1979,Stratovolcano,Holocene,U
0703-086,Santo Tomas,Luzon-Philippines,16.33,120.55,2260,Stratovolcano,Uncertain,Unknown
1402-05=,Santo Tomas,Guatemala,14.71,-91.479,3542,Stratovolcano,Pleistocene-Fumarol,Q
0102-04=,Santorini,Greece,36.404,25.396,329,Shield volcano,Historical,D2
0204-001,Sao Tome,Africa-W,0.32,6.72,2024,Shield volcano,Holocene,Unknown
0804-191,Sarigan,Mariana Is-C Pacific,16.708,145.78,538,Stratovolcano,Holocene,U
0601-131,Sarik-Gajah,Sumatra,0.08,100.2,0,Pyroclastic cone,Holocene,Unknown
0900-24=,Sarychev Peak,Kuril Is,48.092,153.2,1496,Stratovolcano,Historical,D1
1200-13-,Satah Mountain,Canada,52.47,-124.7,1921,Volcanic field,Holocene,U
0404-04=,Savaii,Samoa-SW Pacific,-13.612,-172.525,1858,Shield volcano,Historical,D2
0505-07=,Savo,Solomon Is-SW Pacifi,-9.13,159.82,510,Stratovolcano,Historical,D3
0301-16-,"Sawad, Harra Es-",Arabia-S,13.58,46.12,1737,Volcanic field,Historical,D6
1900-05=,Seal Nunataks Group,Antarctica,-65.03,-60.05,368,Pyroclastic cone,Historical,D3
1000-52-,Sedankinsky,Kamchatka,57.23,160.08,1241,Shield volcano,Holocene,U
0202-05-,Segererua Plateau,Africa-E,1.57,37.9,699,Pyroclastic cone,Holocene,U
1101-18-,Seguam,Aleutian Is,52.32,-172.52,1054,Stratovolcano,Historical,D1
1101-03-,Segula,Aleutian Is,52.02,178.13,1153,Stratovolcano,Holocene,U
0601-26=,Sekincau Belirang,Sumatra,-5.12,104.32,1719,Caldera,Fumarolic,U
0603-30=,Semeru,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1
1101-06-,Semisopochnoi,Aleutian Is,51.95,179.62,1221,Stratovolcano,Historical,D1
0606-04=,Sempu,Sulawesi-Indonesia,1.142,124.73,1549,Caldera,Fumarolic,U
1401-092,Serdan-Oriental,Mexico,19.27,-97.47,3485,Tuff cone,Holocene,U
1101-15-,Sergief,Aleutian Is,52.03,-174.93,560,Stratovolcano,Uncertain,Unknown
0605-07=,Serua,Banda Sea,-6.3,130,641,Stratovolcano,Historical,D2
0503-031,Sessagara,New Guinea,-9.48,149.13,370,Unknown,Holocene,U
1802-08=,Sete Cidades,Azores,37.87,-25.78,856,Stratovolcano,Historical,D3
0601-02=,Seulawah Agam,Sumatra,5.448,95.658,1810,Stratovolcano,Historical,D3
1000-70-,Severny,Kamchatka,58.28,160.87,1936,Shield volcano,Holocene,U
0201-28-,Shala,Ethiopia,7.47,38.55,2075,Stratovolcano,Holocene,U
0300-01-,Sharat Kovakab,Syria,36.53,40.85,534,Volcanic field,Holocene,U
1203-01-,Shasta,US-California,41.42,-122.2,4317,Stratovolcano,Historical,D4
0803-121,Shiga,Honshu-Japan,36.7,138.52,2036,Shield volcano,Holocene,U
0805-062,Shikaribetsu Group,Hokkaido-Japan,43.28,143.08,1430,Lava dome,Holocene,U
0805-04=,Shikotsu,Hokkaido-Japan,42.7,141.33,1320,Caldera,Historical,D1
0805-09=,Shiretoko-Iwo-zan,Hokkaido-Japan,44.13,145.17,1563,Stratovolcano,Historical,D2
0805-033,Shiribetsu,Hokkaido-Japan,42.767,140.916,1107,Stratovolcano,Holocene,U
0900-331,Shirinki,Kuril Is,50.2,154.98,761,Stratovolcano,Holocene,U
1101-36-,Shishaldin,Aleutian Is,54.75,-163.97,2857,Stratovolcano,Historical,D1
1000-58-,Shishel,Kamchatka,57.45,160.37,2525,Shield volcano,Holocene,U
1000-27=,Shiveluch,Kamchatka,56.653,161.36,3283,Stratovolcano,Historical,D1
1204-01-,Shoshone Lava Field,US-Idaho,43.07,-114.43,1525,Cinder cone,Holocene,Unknown
0601-07=,Sibayak,Sumatra,3.2,98.52,2212,Stratovolcano,Historical,D3
0601-11=,Sibualbuali,Sumatra,1.556,99.255,1819,Stratovolcano,Holocene,Unknown
0202-052,Silali,Africa-E,1.15,36.23,1528,Shield volcano,Ar/Ar,D7
0702-04=,Silay,Philippines-C,10.77,123.23,1535,Stratovolcano,Holocene,U
1200-16-,Silverthrone,Canada,51.43,-126.3,3160,Caldera,Holocene,U
0505-05=,Simbo,Solomon Is-SW Pacifi,-8.292,156.52,335,Stratovolcano,Uncertain,Unknown
0601-08=,Sinabung,Sumatra,3.17,98.392,2460,Stratovolcano,Holocene,U
0900-29=,Sinarka,Kuril Is,48.875,154.175,934,Stratovolcano,Historical,D3
0705-10-,Singu Plateau,SE Asia,22.7,95.98,507,Fissure vent,Holocene,U
1403-002,"Singuil, Cerro",El Salvador,14.03,-89.7,957,Cinder cone,Holocene,U
1900-025,Siple,Antarctica,-73.43,-126.67,3110,Shield volcano,Holocene,Unknown
0604-27=,Sirung,Lesser Sunda Is,-8.51,124.148,862,Complex volcano,Historical,D1
0603-18=,Slamet,Java,-7.242,109.208,3432,Stratovolcano,Historical,D1
0900-021,Smirnov,Kuril Is,44.43,146.13,1189,Stratovolcano,Holocene,U
0804-08=,Smith Rock,Izu Is-Japan,31.32,140.05,136,Submarine volcano,Historical,D2
0704-04=,Smith Volcano,Luzon-N of,19.523,121.94,2090,Stratovolcano,Historical,D2
1700-01=,Snaefellsjokull,Iceland-W,64.8,-23.78,1448,Stratovolcano,Radiocarbon,D6
1000-69-,Snegovoy,Kamchatka,58.2,160.97,2169,Shield volcano,Holocene,U
1000-66-,Snezhniy,Kamchatka,58.02,160.75,2169,Shield volcano,Holocene,U
1102-20-,Snowy,Alaska Peninsula,58.33,-154.68,2161,Stratovolcano,Fumarolic,U
1502-001,Soche,Ecuador,0.552,-77.58,3955,Stratovolcano,Radiocarbon,D7
1505-108,Socompa,Chile-N,-24.4,-68.25,6051,Stratovolcano,Radiocarbon,D7
1401-021,Socorro,Mexico-Is,18.78,-110.95,1050,Shield volcano,Historical,D1
0201-222,Sodore,Ethiopia,8.43,39.35,1765,Pyroclastic cone,Holocene,U
1507-111,Sollipulli,Chile-C,-38.97,-71.52,2282,Caldera,Radiocarbon,D6
0606-03=,Soputan,Sulawesi-Indonesia,1.108,124.725,1784,Stratovolcano,Historical,D1
0601-12=,Sorikmarapi,Sumatra,0.686,99.539,2145,Stratovolcano,Historical,D1
0201-103,Sorkale,Ethiopia,13.18,41.725,1611,Stratovolcano,Holocene,Unknown
1501-061,Sotara,Colombia,2.12,-76.58,4400,Stratovolcano,Holocene,U
1600-06=,Soufriere Guadeloupe,W Indies,16.05,-61.67,1467,Stratovolcano,Historical,D1
1600-05=,Soufriere Hills,W Indies,16.72,-62.18,915,Stratovolcano,Historical,D1
1600-15=,Soufriere St. Vincent,W Indies,13.33,-61.18,1220,Stratovolcano,Historical,D1
0202-02=,South Island,Africa-E,2.63,36.6,700,Stratovolcano,Historical,D3
1202-08-,South Sister,US-Oregon,44.1,-121.77,3157,Complex volcano,Radiocarbon,D7
1002-01-,Southern Sikhote-Alin,Russia-SE,44.5,135.5,0,Volcanic field,Holocene,U
1200-07-,Spectrum Range,Canada,57.43,-130.68,2430,Shield volcano,Holocene,U
1103-04-,Spurr,Alaska-SW,61.3,-152.25,3374,Stratovolcano,Historical,D1
1202-13-,Squaw Ridge Field,US-Oregon,43.472,-120.754,1711,Volcanic field,Holocene,Unknown
0900-211,Srednii,Kuril Is,47.6,152.92,36,Submarine volcano,Holocene,U
0500-01=,St. Andrew Strait,Admiralty Is-SW Paci,-2.38,147.35,270,Complex volcano,Historical,D2
1600-17=,St. Catherine,W Indies,12.15,-61.67,840,Stratovolcano,Holocene,U
1201-05-,St. Helens,US-Washington,46.2,-122.18,2549,Stratovolcano,Historical,D1
1104-04-,St. Michael,Alaska-W,63.45,-162.12,715,Shield volcano,Anthropology,U
0304-002,St. Paul,Indian O-S,-38.72,77.53,268,Stratovolcano,Historical,D4
1104-07-,St. Paul Island,Alaska-W,57.18,-170.3,203,Cinder cone,Holocene,U
1206-01-,Steamboat Springs,US-Nevada,39.375,-119.72,1415,Lava dome,Pleistocene-Fumarol,Q
1102-22-,Steller,Alaska Peninsula,58.43,-154.4,2272,Unknown,Uncertain,Unknown
0101-04=,Stromboli,Italy,38.789,15.213,926,Stratovolcano,Historical,D1
1900-012,Sturge Island,Antarctica,-67.4,164.83,1167,Stratovolcano,Uncertain,Unknown
1402-17-,Suchitan Volc Field,Guatemala,14.4,-89.78,2042,Stratovolcano,Holocene,U
0604-12=,Sukaria Caldera,Lesser Sunda Is,-8.792,121.77,1500,Caldera,Fumarolic,U
1502-04=,Sumaco,Ecuador,-0.538,-77.626,3990,Stratovolcano,Historical,D3
0603-22=,Sumbing,Java,-7.38,110.058,3371,Stratovolcano,Historical,D4
0601-18=,Sumbing,Sumatra,-2.414,101.728,2507,Stratovolcano,Historical,D2
0802-081,Sumiyoshi-ike,Kyushu-Japan,31.768,130.594,100,Maar,Radiocarbon,D7
0603-21=,Sundoro,Java,-7.3,109.992,3136,Stratovolcano,Historical,D1
1209-02-,Sunset Crater,US-Arizona,35.37,-111.5,2447,Cinder cone,Dendrochronology,D6
0601-27=,Suoh,Sumatra,-5.25,104.27,1000,Maar,Historical,D2
0103-021,Suphan Dagi,Turkey,38.92,42.82,4434,Stratovolcano,Holocene,U
0804-142,Supply Reef,Mariana Is-C Pacific,20.13,145.1,-8,Submarine volcano,Hydrophonic,D1
0507-01=,Suretamatai,Vanuatu-SW Pacific,-13.8,167.47,921,Complex volcano,Historical,D1
0202-11=,Suswa,Africa-E,-1.175,36.35,2356,Shield volcano,Holocene,U
0802-03=,Suwanose-jima,Ryukyu Is,29.53,129.72,799,Stratovolcano,Historical,D1
0404-001,Tau,Samoa-SW Pacific,-14.23,-169.454,931,Shield volcano,Holocene,U
0703-07=,Taal,Luzon-Philippines,14.002,120.993,400,Stratovolcano,Historical,D1
1101-311,Table Top-Wide Bay,Aleutian Is,53.98,-166.67,800,Cinder cone,Holocene,U
1403-072,Taburete,El Salvador,13.435,-88.532,1172,Stratovolcano,Holocene,U
1401-13=,Tacana,Mexico,15.13,-92.112,4110,Stratovolcano,Historical,D1
1505-01=,Tacora,Chile-N,-17.72,-69.77,5980,Stratovolcano,Fumarolic,U
0302-05-,Taftan,Iran,28.6,61.6,4050,Stratovolcano,Holocene,U
0201-01=,"Tair, Jebel at",Red Sea,15.7,41.742,244,Stratovolcano,Historical,D3
1402-02=,Tajumulco,Guatemala,15.034,-91.903,4220,Stratovolcano,Holocene,U
0803-143,Takahara,Honshu-Japan,36.9,139.78,1795,Stratovolcano,Holocene,U7
1900-027,Takahe,Antarctica,-76.28,-112.08,3460,Shield volcano,Ice Core,D7
1101-09-,Takawangha,Aleutian Is,51.87,-178.02,1449,Stratovolcano,Holocene,U
0505-021,Takuan Group,Bougainville-SW Paci,-6.442,155.608,2210,Volcanic complex,Holocene,U
0603-15=,Talagabodas,Java,-7.208,108.07,2201,Stratovolcano,Fumarolic,U
0601-13=,Talakmau,Sumatra,0.079,99.98,2919,Complex volcano,Holocene,U
0601-16=,Talang,Sumatra,-0.978,100.679,2597,Stratovolcano,Historical,D1
0604-04=,Tambora,Lesser Sunda Is,-8.25,118,2850,Stratovolcano,Historical,D1
0603-131,Tampomas,Java,-6.77,107.95,1684,Stratovolcano,Holocene,U
1101-08-,Tanaga,Aleutian Is,51.88,-178.13,1806,Stratovolcano,Historical,D2
0601-15=,Tandikat,Sumatra,-0.433,100.317,2438,Stratovolcano,Historical,D2
0603-09=,Tangkubanparahu,Java,-6.77,107.6,2084,Stratovolcano,Historical,D1
0900-31=,Tao-Rusyr Caldera,Kuril Is,49.35,154.7,1325,Stratovolcano,Historical,D2
0604-26=,"Tara, Batu",Lesser Sunda Is,-7.792,123.579,748,Stratovolcano,Historical,D3
0608-001,Tarakan,Halmahera-Indonesia,1.78,127.792,318,Pyroclastic cone,Holocene,U
1003-01-,Taryatu-Chulutu,Mongolia,48.17,99.7,2400,Volcanic field,Holocene,U
0201-106,Tat Ali,Ethiopia,13.28,41.07,700,Shield volcano,Holocene,U
1505-024,Tata Sabaya,Bolivia,-19.13,-68.53,5430,Stratovolcano,Holocene,U
0803-08=,Tate-yama,Honshu-Japan,36.57,137.6,2621,Stratovolcano,Historical,D3
0803-031,Tateshina,Honshu-Japan,36.1,138.3,2530,Stratovolcano,Holocene,U
1505-08=,"Tatio, El",Chile-N,-22.35,-68.03,4280,Hydrothermal field,Pleistocene-Geysers,Q
0801-032,Tatun Group,Taiwan,25.17,121.52,1120,Stratovolcano,Pleistocene-Fumarol,Q
1000-16-,Taunshits,Kamchatka,54.53,159.8,2353,Stratovolcano,Radiocarbon,D7
0401-07=,Taupo,New Zealand,-38.82,176,760,Caldera,Radiocarbon,D6
1303-03-,Teahitia,Society Is-C Pacific,-17.57,-148.85,-1600,Submarine volcano,Seismicity,U
1403-08=,Tecapa,El Salvador,13.494,-88.502,1593,Stratovolcano,Holocene,U
1402-12=,Tecuamburro,Guatemala,14.156,-90.407,1845,Stratovolcano,Radiocarbon,D7
1404-04=,Telica,Nicaragua,12.602,-86.845,1061,Stratovolcano,Historical,D1
0603-231,Telomoyo,Java,-7.37,110.4,1894,Stratovolcano,Holocene,U
0601-05=,"Telong, Bur Ni",Sumatra,4.77,96.808,2624,Stratovolcano,Historical,D2
0103-03=,Tenduruk Dagi,Turkey,39.33,43.83,3584,Shield volcano,Holocene,U
1803-03-,Tenerife,Canary Is,28.271,-16.641,3715,Stratovolcano,Historical,D2
0705-11-,Tengchong,China-S,25.32,98.47,2865,Pyroclastic cone,Historical,D5
0603-31=,Tengger Caldera,Java,-7.942,112.95,2329,Stratovolcano,Historical,D1
1405-031,Tenorio,Costa Rica,10.673,-85.015,1916,Stratovolcano,Holocene,U
0605-05=,Teon,Banda Sea,-6.92,129.125,655,Stratovolcano,Historical,D2
0201-292,Tepi,Ethiopia,7.42,35.43,2728,Shield volcano,Holocene,U
1802-05=,Terceira,Azores,38.73,-27.32,1023,Stratovolcano,Historical,D1
1703-09=,Theistareykjarbunga,Iceland,65.88,-16.83,564,Shield volcano,Tephrochronology,D7
1806-03-,Thompson Island,Atlantic-S,-53.93,5.5,0,Submarine volcano,Uncertain,Unknown
1702-19-,Thordarhyrna,Iceland-S,62.27,-17.6,1659,Stratovolcano,Historical,D2
1900-07=,Thule Islands,Antarctica,-59.45,-27.37,1075,Stratovolcano,Historical,D1
1004-02-,Tianshan Volc Group,China-W,42.5,82.5,0,Volcanic field,Historical,D6
0900-03=,Tiatia,Kuril Is,44.358,146.27,1819,Stratovolcano,Historical,D1
1504-031,Ticsani,Peru,-16.755,-70.595,5408,Stratovolcano,Holocene,U
0608-061,Tidore,Halmahera-Indonesia,0.65,127.4,1730,Stratovolcano,Holocene,U
0608-071,Tigalalu,Halmahera-Indonesia,0.07,127.42,422,Unknown,Holocene,U
1403-13-,"Tigre, Isla El",Honduras,13.27,-87.63,760,Stratovolcano,Holocene,U
0201-127,Tiho,Djibouti,11.53,42.05,500,Fumarole field,Pleistocene-Fumarol,Q
1405-032,"Tilaran, Cerro",Costa Rica,10.451,-84.978,634,Shield volcano,Holocene,Unknown
0506-01=,Tinakula,Santa Cruz Is-SW Pac,-10.38,165.8,851,Stratovolcano,Historical,D1
1702-04=,Tindfjallajokull,Iceland-S,63.78,-19.57,1463,Stratovolcano,Holocene,U
1507-03=,Tinguiririca,Chile-C,-34.814,-70.352,4280,Stratovolcano,Historical,D2
1505-131,Tipas,Argentina,-27.2,-68.55,6660,Complex volcano,Holocene,U
1000-56-,Titila,Kamchatka,57.4,160.1,1559,Shield volcano,Holocene,U
1703-10=,Tjornes Fracture Zone,Iceland-N of,66.3,-17.1,0,Submarine volcano,Historical,D3
1105-06-,Tlevak Strait-Suemez Is.,Alaska-SE,55.25,-133.3,50,Volcanic field,Holocene,U
0804-011,To-shima,Izu Is-Japan,34.52,139.28,508,Stratovolcano,Holocene,Unknown
0601-09=,Toba,Sumatra,2.58,98.83,2157,Caldera,Holocene,U
0608-02-,Tobaru,Halmahera-Indonesia,1.625,127.675,1035,Unknown,Holocene,U
1505-073,"Toconce, Cerro",Chile-N,-22.2,-68.1,5435,Stratovolcano,Holocene,U
1505-081,"Tocorpuri, Cerros de",Chile-N,-22.43,-67.9,5808,Stratovolcano,Holocene,U
0608-05=,Todoko-Ranu,Halmahera-Indonesia,1.22,127.43,979,Caldera,Holocene,U
0403-06=,Tofua,Tonga-SW Pacific,-19.75,-175.07,512,Caldera,Historical,D2
0205-001,"Toh, Tarso",Africa-N,21.33,16.33,2000,Volcanic field,Holocene,U
0805-05=,Tokachi,Hokkaido-Japan,43.42,142.68,2077,Stratovolcano,Historical,D1
1000-24=,Tolbachik,Kamchatka,55.83,160.33,3682,Shield volcano,Historical,D1
1507-092,Tolguaca,Chile-C,-38.31,-71.645,2806,Stratovolcano,Holocene,U
1501-03=,Tolima,Colombia,4.67,-75.33,5200,Stratovolcano,Historical,D2
1402-07=,Toliman,Guatemala,14.612,-91.189,3158,Stratovolcano,Holocene,U
1000-082,Tolmachev Dol,Kamchatka,52.63,157.58,1021,Cinder cone,Holocene,U
1401-07-,"Toluca, Nevado de",Mexico,19.108,-99.758,4690,Stratovolcano,Radiocarbon,D7
0606-07-,Tondano Caldera,Sulawesi-Indonesia,1.23,124.83,1202,Caldera,Fumarolic,U
1900-026,Toney Mountain,Antarctica,-75.8,-115.83,3595,Shield volcano,Holocene,Unknown
0401-08=,Tongariro,New Zealand,-39.13,175.642,1978,Stratovolcano,Historical,D1
0606-13=,Tongkoko,Sulawesi-Indonesia,1.52,125.2,1149,Stratovolcano,Historical,D3
0505-00-,Tore,Bougainville-SW Paci,-5.83,154.93,2200,Lava cone,Holocene,U
1702-05=,Torfajokull,Iceland-S,63.92,-19.17,1259,Stratovolcano,Historical,D6
0804-09=,Tori-shima,Izu Is-Japan,30.48,140.32,403,Stratovolcano,Historical,D1
0705-03-,Toroeng Prong,SE Asia,14.93,108,800,Cinder cone,Holocene,Unknown
1401-011,"Tortuga, Isla",Mexico,27.392,-111.858,210,Shield volcano,Holocene,U
0201-31-,Tosa Sucha,Ethiopia,5.92,37.57,1650,Cinder cone,Holocene,U
0205-01=,"Tousside, Tarso",Africa-N,21.03,16.45,3265,Stratovolcano,Holocene,U
0803-271,Towada,Honshu-Japan,40.47,140.92,1159,Caldera,Historical,D6
0507-09=,Traitors Head,Vanuatu-SW Pacific,-18.75,169.23,837,Stratovolcano,Historical,D3
1401-01=,Tres Virgenes,Mexico,27.47,-112.591,1940,Stratovolcano,Radiocarbon,D7
0900-113,Tri Sestry,Kuril Is,45.93,149.92,998,Stratovolcano,Holocene,Unknown
1102-16-,Trident,Alaska Peninsula,58.23,-155.08,1864,Stratovolcano,Historical,D1
1805-051,Trindade,Atlantic-S,-20.514,-29.331,600,Stratovolcano,Holocene,U
